chip_id,detector,source_detector,grid_id,pred_idx,iou_to_gt,area_m2,human_label,propagated_from,pair_iou
v3c_G0772_p0000,v3c,both,G0772,0,0.0,130.206,ground_road_marking,,1.0
v3c_G0772_p0001,v3c,both,G0772,1,0.0,4.02,hvac_rooftop_equipment,,1.0
v3c_G0772_p0002,v3c,both,G0772,2,0.0,4.319,hvac_rooftop_equipment,,1.0
v3c_G0772_p0004,v3c,both,G0772,4,0.0,143.997,ground_road_marking,,1.0
v3c_G0772_p0006,v3c,both,G0772,6,0.0,181.218,ground_road_marking,,1.0
v3c_G0772_p0007,v3c,both,G0772,7,0.0,17.992,actually_pv_mislabeled,,1.0
v3c_G0772_p0010,v3c,both,G0772,10,0.0,126.384,ground_road_marking,,1.0
v3c_G0772_p0012,v3c,both,G0772,12,0.0,125.787,roof_shadow_dark_fixture,,1.0
v3c_G0772_p0014,v3c,both,G0772,14,0.0,28.779,corrugated_metal_roof,,1.0
v3c_G0772_p0015,v3c,both,G0772,15,0.0,137.666,corrugated_metal_roof,,1.0
v3c_G0772_p0018,v3c,both,G0772,18,0.0,6.289,actually_pv_mislabeled,,1.0
v3c_G0772_p0019,v3c,both,G0772,19,0.0096,674.075,corrugated_metal_roof,,1.0
v3c_G0772_p0020,v3c,both,G0772,20,0.0,160.97,corrugated_metal_roof,,1.0
v3c_G0772_p0021,v3c,both,G0772,21,0.0,14.708,actually_pv_mislabeled,,1.0
v3c_G0772_p0022,v3c,both,G0772,22,0.0,18.788,skylight_roof_window,,1.0
v3c_G0772_p0026,v3c,both,G0772,26,0.0,11.563,hvac_rooftop_equipment,,1.0
v3c_G0772_p0027,v3c,both,G0772,27,0.0,25.416,skylight_roof_window,,1.0
v3c_G0772_p0028,v3c,both,G0772,28,0.0,33.258,actually_pv_mislabeled,,1.0
v3c_G0772_p0029,v3c,both,G0772,29,0.0,464.946,skylight_roof_window,,1.0
v3c_G0772_p0030,v3c,both,G0772,30,0.0,178.945,corrugated_metal_roof,,1.0
v3c_G0772_p0031,v3c,both,G0772,31,0.0,360.397,corrugated_metal_roof,,1.0
v3c_G0772_p0032,v3c,both,G0772,32,0.0,5.015,actually_pv_mislabeled,,1.0
v3c_G0772_p0033,v3c,both,G0772,33,0.0,132.113,ground_road_marking,,1.0
v3c_G0772_p0034,v3c,both,G0772,34,0.0,120.987,ground_road_marking,,1.0
v3c_G0772_p0036,v3c,both,G0772,36,0.0,5.613,actually_pv_mislabeled,,1.0
v3c_G0772_p0038,v3c,both,G0772,38,0.0,214.885,actually_pv_mislabeled,,1.0
v3c_G0772_p0043,v3c,both,G0772,43,0.0,40.78,corrugated_metal_roof,,1.0
v3c_G0772_p0048,v3c,both,G0772,48,0.0,29.057,other_unknown,,1.0
v3c_G0772_p0055,v3c,both,G0772,55,0.0,27.186,skylight_roof_window,,1.0
v3c_G0773_p0004,v3c,both,G0773,4,0.0,136.535,actually_pv_mislabeled,,1.0
v3c_G0773_p0005,v3c,both,G0773,5,0.0358,207.209,actually_pv_mislabeled,,1.0
v3c_G0773_p0006,v3c,both,G0773,6,0.0216,123.08,actually_pv_mislabeled,,1.0
v3c_G0773_p0007,v3c,both,G0773,7,0.0,141.17,corrugated_metal_roof,,1.0
v3c_G0773_p0008,v3c,both,G0773,8,0.0,5.752,actually_pv_mislabeled,,1.0
v3c_G0773_p0024,v3c,both,G0773,24,0.0,57.001,ground_road_marking,,1.0
v3c_G0773_p0025,v3c,both,G0773,25,0.0,20.221,solar_thermal_water_heater,,1.0
v3c_G0773_p0027,v3c,both,G0773,27,0.0,19.882,roof_shadow_dark_fixture,,1.0
v3c_G0774_p0008,v3c,both,G0774,8,0.0,144.158,actually_pv_mislabeled,,1.0
v3c_G0774_p0010,v3c,both,G0774,10,0.0,736.958,corrugated_metal_roof,,1.0
v3c_G0774_p0011,v3c,both,G0774,11,0.0,19.644,skylight_roof_window,,1.0
v3c_G0774_p0012,v3c,both,G0774,12,0.0,18.729,skylight_roof_window,,1.0
v3c_G0774_p0013,v3c,both,G0774,13,0.0,19.644,skylight_roof_window,,1.0
